epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.21,1.54359,1.68098,1.44898,0.8286,0.23923,0.25493,0.15271,1.39564,1.0835,1.29707,0.00332951,0.00332951,0.00332951
2,985.102,1.51509,1.34762,1.42042,0.64264,0.24147,0.23223,0.14113,1.53527,1.32175,1.41485,0.00659688,0.00659688,0.00659688
3,1478.33,1.64596,1.56858,1.5262,0.52542,0.12279,0.13951,0.06705,1.86743,1.83739,1.74385,0.00979825,0.00979825,0.00979825
4,1966.6,1.7194,1.69891,1.59184,0.46322,0.14228,0.15674,0.07669,1.70184,1.59407,1.59829,0.009703,0.009703,0.009703
5,2451.8,1.65556,1.60345,1.56207,0.63721,0.18924,0.19773,0.09716,1.68834,1.38532,1.55224,0.009604,0.009604,0.009604
6,2935.24,1.61359,1.53119,1.52435,0.52078,0.24183,0.2249,0.12847,1.58581,1.3042,1.49375,0.009505,0.009505,0.009505
7,3418.83,1.58194,1.47336,1.5021,0.6772,0.21339,0.27174,0.16401,1.52773,1.18159,1.45968,0.009406,0.009406,0.009406
8,3901.33,1.55863,1.4378,1.4839,0.70098,0.19789,0.29049,0.17545,1.44879,1.12473,1.38213,0.009307,0.009307,0.009307
9,4382.86,1.52633,1.38718,1.46807,0.68032,0.21847,0.26061,0.15442,1.45274,1.15126,1.40006,0.009208,0.009208,0.009208
10,4862.94,1.5001,1.35078,1.45346,0.71365,0.23921,0.27725,0.15959,1.4364,1.11091,1.3832,0.009109,0.009109,0.009109
11,5343.75,1.49069,1.33054,1.44937,0.69294,0.24831,0.2938,0.1699,1.41621,1.0757,1.36859,0.00901,0.00901,0.00901
12,5823.6,1.47864,1.31112,1.43692,0.74235,0.23065,0.31808,0.20358,1.38233,1.03214,1.34922,0.008911,0.008911,0.008911
13,6311.47,1.45637,1.27386,1.41968,0.86224,0.25305,0.28844,0.17662,1.38315,1.0289,1.34645,0.008812,0.008812,0.008812
14,6806.06,1.44491,1.25116,1.41465,0.89704,0.23114,0.29298,0.18204,1.3607,0.99303,1.32253,0.008713,0.008713,0.008713
15,7299.39,1.43813,1.24111,1.40805,0.83697,0.24427,0.29571,0.18768,1.36267,1.03855,1.32892,0.008614,0.008614,0.008614
16,7782.25,1.42352,1.22122,1.39678,0.73681,0.26017,0.35197,0.21349,1.36214,0.98146,1.33051,0.008515,0.008515,0.008515
17,8269.8,1.41393,1.20111,1.38716,0.89039,0.24234,0.32716,0.20084,1.34199,0.94482,1.30592,0.008416,0.008416,0.008416
18,8762.74,1.4159,1.18729,1.38523,0.87465,0.22703,0.27913,0.17833,1.29673,0.93791,1.28365,0.008317,0.008317,0.008317
19,9249.94,1.39661,1.17881,1.37773,0.8955,0.26022,0.33824,0.21914,1.29073,0.91146,1.2675,0.008218,0.008218,0.008218
20,9740.3,1.397,1.16596,1.37008,0.69944,0.27951,0.30649,0.19976,1.31097,0.92282,1.28639,0.008119,0.008119,0.008119
21,10236,1.38354,1.15384,1.36955,0.87654,0.27633,0.31925,0.20485,1.27929,0.90636,1.27011,0.00802,0.00802,0.00802
22,10722.9,1.37529,1.14655,1.36414,0.67487,0.32456,0.40963,0.26274,1.27108,0.90143,1.25595,0.007921,0.007921,0.007921
23,11210.1,1.37046,1.13217,1.3563,0.90109,0.26238,0.35411,0.22946,1.28488,0.87921,1.27553,0.007822,0.007822,0.007822
24,11697.7,1.35696,1.11717,1.35046,0.92366,0.24715,0.33074,0.22148,1.25235,0.87042,1.25271,0.007723,0.007723,0.007723
25,12188.6,1.35432,1.09937,1.34462,0.88635,0.27008,0.36439,0.23792,1.24853,0.86234,1.2441,0.007624,0.007624,0.007624
26,12688.1,1.34476,1.09039,1.34063,0.87922,0.27383,0.33989,0.22767,1.27182,0.85637,1.2545,0.007525,0.007525,0.007525
27,13188.4,1.33495,1.07762,1.33225,0.89634,0.27243,0.34836,0.21989,1.24929,0.84969,1.24396,0.007426,0.007426,0.007426
28,13682.6,1.33675,1.07453,1.33146,0.75316,0.28538,0.338,0.22163,1.24803,0.83797,1.24152,0.007327,0.007327,0.007327
29,14174.4,1.33085,1.07161,1.33115,0.91642,0.28542,0.34654,0.2214,1.23883,0.83723,1.23518,0.007228,0.007228,0.007228
30,14667.9,1.32328,1.05615,1.32354,0.87319,0.28264,0.3383,0.22225,1.23807,0.82994,1.22928,0.007129,0.007129,0.007129
31,15160.9,1.31895,1.04839,1.32081,0.88296,0.28647,0.40944,0.23312,1.2264,0.82109,1.22844,0.00703,0.00703,0.00703
